单词                  |音标                  |词性&词义               
accompany             |/əˈkʌmpəni/           |< vt. > - 陪伴；伴随 ;< vi. > - 伴奏 ;
accomplish            |/əˈkɑːmplɪʃ/          |< vt. > - 完成；实现 ;
accomplishment        |/əˈkɑːmplɪʃmənt/      |< n. > - 成就；完成 ;
accord                |/əˈkɔːrd/             |< v. > - 与 ;< n. > - 协议；一致；符合 ;
accordance            |/əˈkɔːrdns/           |< n. > - 一致；符合；授予；给予 ;
accordingly           |/əˈkɔːrdɪŋli/         |< adv. > - 因此；相应地；于是 ;
account               |/əˈkaʊnt/             |< v. > - 解释；导致；报账；把  ;< n. > - 账户；帐目；赊账；老主顾；报告；描述；解释；说明；估计；理由；利益；好处；根据 ;
accountant            |/əˈkaʊntənt/          |< n. > - 会计人员；会计师 ;
accumulate            |/əˈkjuːmjəleɪt/       |< v. > - 积累；增加；聚集 ;
accuracy              |/ˈækjərəsi/           |< n. > - 准确(性)；精确度 ;
accurate              |/ˈækjərət/            |< adj. > - 准确的；精确的 ;
accusation            |/ˌækjuˈzeɪʃn/         |< n. > - 控告；指控；非难 ;
accuse                |/əˈkjuːz/             |< v. > - 谴责；控告；指责 ;
accustom              |/əˈkʌstəm/            |< vt. > - 使习惯 ;
accustomed            |/əˈkʌstəmd/           |< adj. > - 习惯了的；通常的 ;
ache                  |/eɪk/                 |< vi. > - 渴望；痛 ;< n. > - 痛；隐痛 ;
achieve               |/əˈtʃiːv/             |< v. > - 完成；达到；实现 ;
achievement           |/əˈtʃiːvmənt/         |< n. > - 成就；成绩；完成；达到 ;
acid                  |/ˈæsɪd/               |< adj. > - 酸的；酸性的；尖酸的 ;< n. > - 酸；酸性物质；<俚>迷幻药 ;
acquaint              |/əˈkweɪnt/            |< vt. > - 使了解；使熟知；告知 ;
acquaintance          |/əˈkweɪntəns/         |< n. > - 熟人；相识；了解 ;
acquire               |/əˈkwaɪər/            |< vt. > - 获得；学到；取得 ;
acquisition           |/ˌækwɪˈzɪʃn/          |< n. > - 获得；所获之物；采集 ;
acre                  |/ˈeɪkər/              |< n. > - 英亩 ;
across                |/əˈkrɔːs/             |< adv. > - 横过；穿过；朝向特定的方向；在对面；横写地 ;< prep. > - 横过；穿过；在对面；在(身体某部位)上；在…各处 ;
act                   |/ækt/                 |< v. > - 行动；举止；假装；表演；扮演；充当；有效果 ;< n. > - 行为；行动；法案；(戏剧、歌剧等的)一幕；假装 ;
action                |/ˈækʃn/               |< n. > - 行为；活动；措施；效用；交战；情节；事件；姿态；起诉；机能 ;
active                |/ˈæktɪv/              |< adj. > - 活跃的；积极的；起作用的；灵活的 ;
activity              |/ækˈtɪvəti/           |< adj. > - 厉害 ;< vt. > - 表演 ;< n. > - 活动；活跃 ;
actor                 |/ˈæktər/              |< n. > - 演员；行动者 ;
actress               |/ˈæktrəs/             |< n. > - 女演员 ;
actual                |/ˈæktʃuəl/            |< adj. > - 实际的；事实上的 ;
actually              |/ˈæktʃuəli/           |< adv. > - 实际上；事实上；竟然（表示惊讶） ;
acute                 |/əˈkjuːt/             |< adj. > - 严重的；敏锐的；急性的；剧烈的 ;
ad                    |/ˌeɪˈdiː/             |< abbr. > - 公元(=Anno Domini) ;
adamant               |/ˈædəmənt/            |< adj. > - 坚定不移的；固执的 ;< n. > - 坚硬无比之物；硬石 ;
adapt                 |/əˈdæpt/              |< vt. > - 改编；使适应 ;< vi. > - 适应；适合 ;
add                   |/æd/                  |< v. > - 加；增加；补充 ;
addition              |/əˈdɪʃn/              |< n. > - 增加；加法；附加物 ;
additional            |/əˈdɪʃənl/            |< adj. > - 附加的；额外的 ;
address               |/əˈdres/              |< v. > - 称呼；发表演说；提出；写地址；处理 ;< n. > - 住址；网址；电子邮箱地址；称呼；致词；讲话；演讲；谈吐 ;
adequate              |/ˈædɪkwət/            |< adj. > - 足够的；适当的；能胜任的 ;
adjective             |/ˈædʒɪktɪv/           |< adj. > - 形容词的；不独立的 ;< n. > - 形容词 ;
adjust                |/əˈdʒʌst/             |< v. > - 调整；校准；调节；使适应 ;
adjustment            |/əˈdʒʌstmənt/         |< n. > - 调整；调节 ;
administration        |/ədˌmɪnɪˈstreɪʃn/     |< n. > - 实施；管理；行政；行政部门；任期 ;
admire                |/ədˈmaɪər/            |< vt. > - 钦佩；赞美；羡慕；欣赏 ;
admission             |/ədˈmɪʃn/             |< n. > - 承认；入会费；许可 ;
admit                 |/ədˈmɪt/              |< vt. > - 承认；允许进入；给…进入的权利；容纳 ;< vi. > - 承认；允许进入；允许 ;
admittedly            |/ədˈmɪtɪdli/          |< adv. > - 不可否认的；公认地 ;
adopt                 |/əˈdɑːpt/             |< v. > - 采用；收养；接受 ;
adore                 |/əˈdɔːr/              |< vt. > - 爱慕；崇拜；很喜欢 ;
adorn                 |/əˈdɔːrn/             |< v. > - 装饰；佩戴 ;
adult                 |/ˈædʌlt/              |< adj. > - 成年的；理智的；适合成年人的；成熟的 ;< n. > - 成年人；成年动物 ;
advance               |/ədˈvæns/             |< v. > - 前进；预付；增长；推进 ;< adj. > - 预先的；提前的 ;< n. > - 前进；进展；预付金 ;
advanced              |/ədˈvænst/            |< adj. > - 先进的；高级的 ;
advantage             |/ədˈvæntɪdʒ/          |< vt. > - 有利于 ;< n. > - 优势；有利条件 ;
advent                |/ˈædvent/             |< n. > - 出现；到来 ;
adventure             |/ədˈventʃər/          |< vt. > - 冒险；尝试 ;< vi. > - 冒险；大胆进行 ;< n. > - 冒险；奇遇 ;
adverb                |/ˈædvɜːb/             |< adj. > - 副词的 ;< n. > - 副词 ;
advertisement         |/ˌædvərˈtaɪzmənt/     |< n. > - 广告 ;
advertiser            |/ˈædvərtaɪzər/        |< n. > - 广告商；广告客户 ;
advice                |/ədˈvaɪs/             |< n. > - 劝告；忠告；建议 ;
advisable             |/ədˈvaɪzəbl/          |< adj. > - 明智的；可取的 ;
advise                |/ədˈvaɪz/             |< vt. > - 劝告；通知；忠告；建议 ;< vi. > - 提建议 ;
advisory              |/ədˈvaɪzəri/          |< adj. > - 顾问的；咨询的；劝告的 ;< n. > - 报告 ;
Aegean                |/iːˈdʒiːən/           |< adj. > - 爱琴海的 ;
aerial                |/ˈeriəl/              |< adj. > - 空中的；空气的；航空的；空想的 ;< n. > - 天线 ;
aero                  |/'eroʊ/               |< adj. > - 飞机的；航空的；飞行的 ;< pref. > - 飞机的；飞行的 ;
affair                |/əˈfer/               |< n. > - 私通；事件；事务；事情 ;
affect                |/əˈfekt/              |< vt. > - 影响；感动；作用 ;
affection             |/əˈfekʃn/             |< n. > - 影响；感情；喜爱；慈爱 ;
afflict               |/əˈflɪkt/             |< vt. > - 使苦恼；折磨 ;
afford                |/əˈfɔːrd/             |< v. > - 花费得起；能够做；承担得起(后果)；提供；给予 ;
afraid                |/əˈfreɪd/             |< adj. > - 抱歉的；担心的；害怕的 ;
Africa                |/ˈæfrɪkə/             |< n. > - 非洲 ;
African               |/ˈæfrɪkən/            |< adj. > - 非洲的；非洲人的 ;< n. > - 非洲人 ;
after                 |/ˈæftər/              |< conj. > - 在  ;< adv. > - 以后；后来 ;< adj. > - 以后的 ;< prep. > - 在  ;
afternoon             |/ˌæftərˈnuːn/         |< n. > - 下午 ;
afterward             |/'ɑːftəwəd/           |< adv. > - 后来；以后 ;
afterwards            |/ˈæftərwərdz/         |< adv. > - 以后；后来 ;
again                 |/əˈɡen/               |< adv. > - 再；又 ;
against               |/əˈɡenst/             |< prep. > - 反对；逆；违背；倚靠；映衬；防御；相比；相对 ;
age                   |/eɪdʒ/                |< v. > - （使）变老；（使）陈化 ;< n. > - 年龄；时代；时期；长时间 ;
agency                |/ˈeɪdʒənsi/           |< n. > - 代理；代理处；政府机构 ;
agent                 |/ˈeɪdʒənt/            |< n. > - 代理人；代理商；药剂；特工人员 ;
aggressive            |/əˈɡresɪv/            |< adj. > - 侵略的；进攻性的；好斗的；有进取心的 ;
ago                   |/əˈɡoʊ/               |< adv. > - 以前 ;
agonizing             |/ˈæɡənaɪzɪŋ/          |< other nominal > - 动词agonize的现在分词形式 ;< adj. > - 苦恼的；痛苦难忍的 ;
agony                 |/ˈæɡəni/              |< n. > - 极度的痛苦；挣扎 ;
agree                 |/əˈɡriː/              |< v. > - 同意；赞成；承认；符合；一致 ;
agreeable             |/əˈɡriːəbl/           |< adj. > - 愉快的；和蔼可亲的；欣然同意的；一致的 ;
agreement             |/əˈɡriːmənt/          |< n. > - 同意；一致；协议 ;
agriculture           |/ˈæɡrɪkʌltʃər/        |< n. > - 农业；农学；农艺 ;
ahead                 |/əˈhed/               |< adv. > - 领先；预先；在前；向前；提前 ;
aid                   |/eɪd/                 |< v. > - 辅助；援助；接济 ;< n. > - 援助；帮助；救援；助手；辅助物 ;
aim                   |/eɪm/                 |< vt. > - 瞄准；针对 ;< vi. > - 瞄准；旨在；致力 ;< n. > - 目标；对准；枪法 ;
air                   |/er/                  |< v. > - 晾干；使通风；广播 ;< n. > - 空气；天空；空中；感觉；神态；曲调；装腔作势 ;
aircraft              |/ˈerkræft/            |< n. > - 飞机 ;
airfield              |/ˈerfiːld/            |< n. > - 飞机场 ;
airline               |/ˈerlaɪn/             |< n. > - 航线；航空公司 ;
airplane              |/ˈerpleɪn/            |< other nominal > - =aeroplane(英） ;< n. > - 飞机 ;
airport               |/ˈerpɔːrt/            |< n. > - 机场；航空站 ;
air-raid              |/'eə'reɪd/            |< adj. > - 空袭的 ;
alarm                 |/əˈlɑːrm/             |< vt. > - 警告；使惊恐；向  ;< n. > - 警报；警报器；惊恐 ;
album                 |/ˈælbəm/              |< n. > - 唱片集；唱片；相册；集邮册；纪念册 ;
alcohol               |/ˈælkəhɔːl/           |< n. > - 酒精；酒；乙醇 ;
alibi                 |/ˈæləbaɪ/             |< v. > - 辩解；找托辞开脱 ;< n. > - 不在场证明或辩解；托辞 ;
alien                 |/ˈeɪliən/             |< adj. > - 外国的；陌生的；相异的 ;< n. > - 外侨；外国人；外星人 ;
alike                 |/əˈlaɪk/              |< adv. > - 一样；以同样的方式 ;< adj. > - 相似的；同样的 ;
alive                 |/əˈlaɪv/              |< adj. > - 活着的；有活力的；注意到的；热闹的 ;
all                   |/ɔːl/                 |< pron. > - 一切；全部 ;< adv. > - 完全；都；非常 ;< adj. > - 所有的；全部的 ;< n. > - 全部 ;
allow                 |/əˈlaʊ/               |< vt. > - 允许；让某人得到；留出；同意（法律） ;< vi. > - (for)考虑到；允许 ;
alloy                 |/ˈælɔɪ/               |< vt. > - 使成合金；使降低，贬损；掺以杂质 ;< vi. > - 有合金能力 ;< n. > - 合金 ;
ally                  |/ˈælaɪ/               |< v. > - （使）结盟；（使）联合 ;< n. > - 同盟国；同盟者；伙伴 ;
almost                |/ˈɔːlmoʊst/           |< adv. > - 几乎；差不多 ;< adj. > - 相近的 ;
alone                 |/əˈloʊn/              |< adv. > - 独自地；仅仅 ;< adj. > - 单独的；独自一人的；孤单的 ;
along                 |/əˈlɔːŋ/              |< prep. > - 沿着；顺着 ;< adv. > - 向前；一起 ;
alongside             |/əˌlɔːŋˈsaɪd/         |< adv. > - 在旁边 ;< prep. > - 在  ;
aloud                 |/əˈlaʊd/              |< adv. > - 出声地；大声地 ;
alphabet              |/ˈælfəbet/            |< n. > - 字母表；基本原理(元素)；符号系统 ;
already               |/ɔːlˈredi/            |< adv. > - 已经 ;
also                  |/ˈɔːlsoʊ/             |< adv. > - 也；而且；同样地 ;
alter                 |/ˈɔːltər/             |< v. > - 改变；更改；阉割；切除卵巢 ;
alternative           |/ɔːlˈtɜːrnətɪv/       |< adj. > - 两者择一的；供选择的；非主流的 ;< n. > - 二者择一；供替代的选择 ;
although              |/ɔːlˈðoʊ/             |< conj. > - 虽然；尽管；然而；可是 ;
altitude              |/ˈæltɪtuːd/           |< n. > - 高度；海拔；高地 ;
altogether            |/ˌɔːltəˈɡeðər/        |< adv. > - 总共；完全；总的来说 ;
aluminum              |/əˈluːmɪnəm/          |< other nominal > - =aluminium（英） ;< n. > - 铝 ;
always                |/ˈɔːlweɪz/            |< adv. > - 总是；一直；始终；永远；随时；无论如何 ;
amass                 |/əˈmæs/               |< v. > - 积聚；收集 ;
amaze                 |/əˈmeɪz/              |< vt. > - 使吃惊；使惊异 ;< vi. > - 惊讶 ;< n. > - 吃惊；好奇 ;
ambassador            |/æmˈbæsədər/          |< n. > - 大使；代表 ;
ambition              |/æmˈbɪʃn/             |< vt. > - 追求；有  ;< n. > - 雄心；抱负；野心；精力 ;
ambitious             |/æmˈbɪʃəs/            |< adj. > - 有雄心的；野心勃勃的；有抱负的 ;
ambulance             |/ˈæmbjələns/          |< n. > - 救护车 ;
America               |/ə'merɪkə/            |< n. > - 美国；美洲 ;
American              |/əˈmerɪkən/           |< adj. > - 美国的；美洲的 ;< n. > - 美国人；美洲人 ;
among                 |/əˈmʌŋ/               |< prep. > - 在  ;
amount                |/əˈmaʊnt/             |< vi. > - 总计；等于 ;< n. > - 数量；总额 ;
ampere                |/ˈæmpeə(r)/           |< n. > - [电]安培 ;
amplify               |/ˈæmplɪfaɪ/           |< v. > - 扩大；详述；增强 ;
amply                 |/ˈæmpli/              |< adv. > - 足够地；详细地；充分地 ;
amuse                 |/əˈmjuːz/             |< v. > - 娱乐；消遣；使  ;
amusement             |/əˈmjuːzmənt/         |< n. > - 乐趣，娱乐；消遣 ;
amusing               |/əˈmjuːzɪŋ/           |< adj. > - 有趣的；引人发笑的 ;
analyses              |/əˈnæləsiːz/          |< other nominal > - 名词analysis的复数形式 ;< n. > - 分解；分析 ;
analysis              |/əˈnæləsɪs/           |< n. > - 分析；解析 ;
ancestor              |/ˈænsestər/           |< n. > - 祖宗；祖先；原种 ;
anchor                |/ˈæŋkər/              |< v. > - 抛锚；停泊；用锚系住；担任（广播电视新闻节目）的主持人 ;< n. > - 锚；锚状物；依靠；新闻节目主播；压阵队员 ;
ancient               |/ˈeɪnʃənt/            |< adj. > - 古老的；古代的 ;< n. > - 古人 ;
and                   |/ənd/                 |< conj. > - 和；加；接着；那么 ;
angel                 |/ˈeɪndʒl/             |< n. > - 天使；天使般的人 ;
anger                 |/ˈæŋɡər/              |< vt. > - 激怒 ;< vi. > - 发火 ;< n. > - 愤怒；怒火 ;
angle                 |/ˈæŋɡl/               |< other nominal > - Angle ;< v. > - 钓鱼；谋取 ;< n. > - 盎格鲁人 ;
angrily               |/ˈæŋɡrəli/            |< adv. > - 气愤地 ;
angry                 |/ˈæŋɡri/              |< adj. > - 生气的；愤怒的；（伤口等）肿痛的，发炎的；（天空或海洋）天昏地暗的，狂风暴雨的 ;
animal                |/ˈænɪml/              |< adj. > - 动物的；野兽的 ;< n. > - 动物；牲畜 ;
ankle                 |/ˈæŋkl/               |< n. > - 踝；踝关节 ;
announce              |/əˈnaʊns/             |< vt. > - 宣布；宣告；预示；播报 ;< vi. > - 作播音员；宣布竞选 ;
announcer             |/əˈnaʊnsə(r)/         |< n. > - 广播员；告知者 ;
annoy                 |/əˈnɔɪ/               |< v. > - 使恼怒；使烦恼；骚扰 ;
annoying              |/əˈnɔɪɪŋ/             |< adj. > - 恼人的；讨厌的 ;
annual                |/ˈænjuəl/             |< adj. > - 每年的；年度的；一年生的 ;< n. > - 年刊；一年生植物 ;
anonymous             |/əˈnɑːnɪməs/          |< adj. > - 匿名的；无名的；没特色的 ;
another               |/əˈnʌðər/             |< pron. > - 另一个；类似的一个；别的 ;< adj. > - 另一的；再一个的 ;
answer                |/ˈænsər/              |< n. > - 答案；回答；答复 ;< v. > - 回答；答复；接电话 ;
ant                   |/ænt/                 |< n. > - 蚂蚁 ;
anticipate            |/ænˈtɪsɪpeɪt/         |< vt. > - 预期；提前使用；抢  ;< vi. > - 预言 ;
antique               |/ænˈtiːk/             |< adj. > - 古代的；古老的；过时的 ;< n. > - 古董；古物 ;
anxiety               |/æŋˈzaɪəti/           |< n. > - 焦虑；担心；渴望 ;
anxious               |/ˈæŋkʃəs/             |< adj. > - 渴望的；忧虑的 ;
any                   |/ˈeni/                |< pron. > - 任何 ;< adv. > - 稍微；丝毫 ;< adj. > - 任何的 ;
anybody               |/ˈenibɑːdi/           |< pron. > - 任何人 ;
anyhow                |/ˈenihaʊ/             |< adv. > - 无论如何；不管怎样 ;
anyone                |/ˈeniwʌn/             |< pron. > - 任何人 ;
anything              |/ˈeniθɪŋ/             |< pron. > - 任何事；任何东西；重要事物 ;< adv. > - 在任何程度上 ;
anyway                |/ˈeniweɪ/             |< adv. > - 不管怎样；无论如何 ;
anywhere              |/ˈeniwer/             |< adv. > - 任何地方 ;< n. > - 任何(一个)地方 ;
apart                 |/əˈpɑːrt/             |< adv. > - 相距；分开地；分别地 ;< adj. > - 分开的；分离的 ;
apartment             |/əˈpɑːrtmənt/         |< n. > - 一套公寓房间 ;
aphides               |/eɪ'fɪdiːz/           |< n. > - 蚜虫 ;
apologetic            |/əˌpɑːləˈdʒetɪk/      |< adj. > - 道歉的；认错的；赔罪的 ;< n. > - 正式的辩护 ;
apologize             |/əˈpɑːlədʒaɪz/        |< vi. > - 道歉；赔罪 ;
apology               |/əˈpɑːlədʒi/          |< n. > - 道歉；辩解；<口>勉强的代用品 ;
apparatus             |/ˌæpəˈrætəs/          |< n. > - 器官；装置；机构；组织；仪器 ;
apparent              |/əˈpærənt/            |< adj. > - 明显的；表面上的 ;
apparently            |/əˈpærəntli/          |< adv. > - 表面上；似乎；显然 ;
appeal                |/əˈpiːl/              |< v. > - 呼吁；有吸引力；求助；诉请 ;< n. > - (体育比赛中)诉请裁决 ;
appear                |/əˈpɪr/               |< vi. > - 出现；出版；显得；好像；登场 ;
appearance            |/əˈpɪrəns/            |< n. > - 出现；露面；外貌；外表；出场 ;
appetite              |/ˈæpɪtaɪt/            |< n. > - 食欲；嗜好；欲望 ;
apple                 |/ˈæpl/                |< n. > - 苹果；珍宝；家伙 ;
appliance             |/əˈplaɪəns/           |< n. > - 器具；应用；装置；器械 ;
applicable            |/əˈplɪkəbl/           |< adj. > - 合适的；适用的；可应用的 ;
application           |/ˌæplɪˈkeɪʃn/         |< n. > - 应用；申请；专心；应用程序 ;
apply                 |/əˈplaɪ/              |< vt. > - 应用；涂；使专心从事 ;< vi. > - 申请；有关联 ;
appoint               |/əˈpɔɪnt/             |< v. > - 任命；委派；指定；约定 ;
appointment           |/əˈpɔɪntmənt/         |< n. > - 约会；任命；设备；职位 ;
appreciate            |/əˈpriːʃieɪt/         |< vt. > - 欣赏；赏识；感激；领会；意识到 ;< vi. > - 增值 ;
approach              |/əˈproʊtʃ/            |< n. > - 途径；方法；接近；接洽；要求；路径；进场着陆；相似的事物 ;< v. > - 靠近；接近；接洽；要求；达到；动手处理 ;
appropriate           |/əˈproʊpriət/         |< adj. > - 适当的；相称的 ;< vt. > - 占用；拨出(款项) ;
approval              |/əˈpruːvl/            |< n. > - 同意；批准；认可；赞同 ;
approve               |/əˈpruːv/             |< v. > - 批准；赞成；同意；称许 ;
approximate           |/əˈprɑksəmɪt/         |< adj. > - 近似的；大约的 ;< v. > - 接近；约等于 ;
approximately         |/əˈprɑːksɪmətli/      |< adv. > - 大约；近似地 ;
April                 |/ˈeɪprəl/             |< n. > - 四月 ;
Arabian               |/əˈreɪbiən/           |< adj. > - 阿拉伯的；阿拉伯人的 ;< n. > - 阿拉伯人；阿拉伯马 ;
arbitrary             |/ˈɑːrbətreri/         |< adj. > - 任意的；专制的；武断的；霸道的 ;
arcade                |/ɑːrˈkeɪd/            |< n. > - 拱廊；有拱廊的街道；游乐中心 ;
archaeologist         |/ˌɑːrkiˈɑːlədʒɪst/    |< n. > - 考古学家 ;
architectural         |/ˌɑːrkɪˈtektʃərəl/    |< adj. > - 建筑的；建筑学的 ;
architecture          |/ˈɑːrkɪtektʃər/       |< n. > - 建筑学；结构；一座建筑物；总称建筑物；建筑风格；【计算机】计算机构造，架构，体系结构，结构格式 ;
archway               |/ˈɑːrtʃweɪ/           |< n. > - 拱门；拱道 ;
arduous               |/ˈɑːrdʒuəs/           |< adj. > - 费力的；辛勤的；险峻的 ;
area                  |/ˈeriə/               |< n. > - 面积；地区，地段；区域；领域 ;
argue                 |/ˈɑːrɡjuː/            |< v. > - 说服；争论；辩论 ;
argument              |/ˈɑːrɡjumənt/         |< n. > - 辩论；论点；论据；争论；理由；(函数)自变量 ;
arise                 |/əˈraɪz/              |< vi. > - 出现；升起；上升；发生；起来 ;
aristocrat            |/əˈrɪstəkræt/         |< n. > - 贵族；有贵族气派的人 ;
arithmetic            |/əˈrɪθmətɪk/          |< adj. > - 算术的 ;< n. > - 算术；计算 ;
arithmetical          |/ˌærɪθˈmetɪkl/        |< other nominal > - #NAME? ;< adj. > - 算术的；算术上的 ;< n. > - 算数；算法 ;
arm                   |/ɑːrm/                |< other nominal > - （复）arms: 军事行动；纹章；兵役 ;< vt. > - 武装；装备 ;< n. > - 武器；军种 ;
army                  |/ˈɑːrmi/              |< n. > - 军队；陆军；一大批 ;
around                |/əˈraʊnd/             |< prep. > - 到处；在  ;< adj. > - 存在的；在风行的 ;< adv. > - 到处；在周围；现有；闲散地；转弯；掉头 ;
arouse                |/əˈraʊz/              |< v. > - 叫醒；唤醒；激起；睡醒 ;
arrange               |/əˈreɪndʒ/            |< vt. > - 整理；安排；计划；改编(乐曲) ;< vi. > - 协商；计划 ;
arrangement           |/əˈreɪndʒmənt/        |< n. > - 布置；安排；约定；商议；改编曲 ;
arrest                |/əˈrest/              |< vt. > - 逮捕；拘留 ;< n. > - 逮捕；拘留 ;
arrival               |/əˈraɪvl/             |< n. > - 到达；达到；到达者；新生儿 ;
arrive                |/əˈraɪv/              |< vi. > - 到达；到来；成功 ;
arrow                 |/ˈæroʊ/               |< n. > - 箭；箭头 ;
art                   |/ɑːrt/                |< adj. > - 艺术(品)的；美术(品)的 ;< n. > - 艺术；美术；技巧；艺术品；人文学科；阴谋 ;
article               |/ˈɑːrtɪkl/            |< vt. > - 订契约 ;< n. > - 文章；物品；条款；[语]冠词 ;
artificial            |/ˌɑːrtɪˈfɪʃl/         |< adj. > - 人造的；虚伪的；武断的 ;
artist                |/ˈɑːrtɪst/            |< n. > - 艺术家；美术家；艺人 ;
artistic              |/ɑːrˈtɪstɪk/          |< adj. > - 艺术的 ;
as                    |/əz/                  |< conj. > - 因为；像；当  ;< adv. > - 同样地；例如；被认为 ;< prep. > - 作为；如同 ;< n. > - 阿斯（古罗马重量单位，约373克；古罗马铜币名） ;
ascertain             |/ˌæsərˈteɪn/          |< vt. > - 确定；查明；探知 ;
ash                   |/æʃ/                  |< other nominal > - (复)ashes：骨灰；废墟；苍白 ;< n. > - 白蜡树；白蜡木 ;
ashamed               |/əˈʃeɪmd/             |< adj. > - 感到惭愧的；感到害臊的 ;
ashtray               |/ˈæʃtreɪ/             |< n. > - 烟灰缸 ;
Asia                  |/ˈeɪʒə/               |< n. > - 亚洲；亚细亚 ;
Asian                 |/ˈeɪʃn/               |< adj. > - 亚洲的；亚洲人的 ;< n. > - 亚洲人 ;
aside                 |/əˈsaɪd/              |< adv. > - 在一边；另外；离开 ;< n. > - 旁白；顺便说的话 ;
ask                   |/æsk/                 |< v. > - 询问；请求；邀请；要求；开价；期待 ;
asleep                |/əˈsliːp/             |< adv. > - 睡着；进入静止状态 ;< adj. > - 睡着的；已死的；不活跃的；麻木的 ;
aspect                |/ˈæspekt/             |< n. > - 方面；方位；外观；外貌 ;
assail                |/əˈseɪl/              |< v. > - 使苦恼，纠缠；猛烈攻击；言语抨击 ;
assemble              |/əˈsembl/             |< v. > - 集合；收集；装配 ;
assembly              |/əˈsembli/            |< n. > - 集会；集合；议会；装配；与会者；聚集在一起的人；[计]汇编 ;
assess                |/əˈses/               |< v. > - 评定；评估；估算 ;
assiduously           |/əˈsɪdjuəsli/         |< adv. > - 刻苦地；不懈地 ;
assign                |/əˈsaɪn/              |< vt. > - 分配；指定；指派；归因；确定 ;< n. > - 受让人 ;
assignment            |/əˈsaɪnmənt/          |< n. > - 分配；任务；功课；委派；被指定的(课外)作业;(分派的)任务 ;
assist                |/əˈsɪst/              |< vt. > - 帮助；协助 ;< vi. > - 帮助；出席 ;< n. > - 帮助；协助；助攻；协助的器械 ;
